timestamp,Variable1,Variable2,Variable3,target
6/16/2017 9:08,SYD10,HDD,Commercial,1458
,,,,
6/16/2017 9:08,SYD10,SSD,Commercial,14
,,,,
6/16/2017 9:08,US2,HDD,Commercial,4757
,,,,
6/16/2017 9:08,US2,SSD,Commercial,74
,,,,
6/16/2017 9:08,US2,SSD,Commercial,15
,,,,
6/16/2017 9:08,US6,HDD,Commercial,33
,,,,
6/16/2017 9:08,US6,SSD,Commercial,0
,,,,
6/16/2017 9:08,US7,HDD,PCI,389
,,,,
6/16/2017 10:08,AP5,HDD,Commercial,448
,,,,
6/16/2017 10:08,EM3,HDD,Commercial,1310
,,,,
6/16/2017 10:08,EM3,SSD,Commercial,1728
,,,,
6/16/2017 10:08,SYD10,HDD,Commercial,1456
,,,,
6/16/2017 10:08,SYD10,SSD,Commercial,14
,,,,
6/16/2017 10:08,US2,HDD,Commercial,4756
,,,,
6/16/2017 10:08,US2,SSD,Commercial,75
,,,,
6/16/2017 10:08,US2,SSD,Commercial,15
,,,,
6/16/2017 10:08,US6,HDD,Commercial,33
,,,,
6/16/2017 10:08,US6,SSD,Commercial,1
,,,,
6/16/2017 10:08,US7,HDD,PCI,389
,,,,
6/16/2017 11:09,AP5,HDD,Commercial,272
,,,,
6/16/2017 11:09,EM3,HDD,Commercial,1312
,,,,
6/16/2017 11:09,EM3,SSD,Commercial,1728
,,,,
6/16/2017 11:09,SYD10,HDD,Commercial,1467
,,,,
6/16/2017 11:09,SYD10,SSD,Commercial,14
,,,,
6/16/2017 11:09,US2,HDD,Commercial,4757
,,,,
6/16/2017 11:09,US2,SSD,Commercial,74
,,,,
6/16/2017 11:09,US2,SSD,Commercial,15
,,,,
6/16/2017 11:09,US6,HDD,Commercial,30
,,,,
6/16/2017 11:09,US6,SSD,Commercial,0
,,,,
6/16/2017 11:09,US7,HDD,PCI,387
,,,,
6/16/2017 12:08,AP5,HDD,Commercial,448
,,,,
6/16/2017 12:08,EM3,HDD,Commercial,1310
,,,,
6/16/2017 12:08,EM3,SSD,Commercial,1728
,,,,
6/16/2017 12:08,SYD10,HDD,Commercial,1490
,,,,
6/16/2017 12:08,SYD10,SSD,Commercial,14
,,,,
6/16/2017 12:08,US2,HDD,Commercial,4752
,,,,
6/16/2017 12:08,US2,SSD,Commercial,74
,,,,
6/16/2017 12:08,US2,SSD,Commercial,15
,,,,
6/16/2017 12:08,US6,HDD,Commercial,27
,,,,
6/16/2017 12:08,US6,SSD,Commercial,0
,,,,
6/16/2017 12:08,US7,HDD,PCI,387
,,,,
